Avg_payoff,Avg_goal_satisfaction,Avg_privacy_loss,resolution,source
0.59823,0.910265,1.0,58.115472,Share-rules
0.613631,0.900473,0.999978,59.151345,Share-rules
0.611912,0.919152,0.999977,57.746894,Share-rules
0.58886,0.910174,1.0,55.95076,Share-rules
0.635303,0.903325,1.0,58.479836,Share-rules
0.6728,0.908054,1.0,57.881451,Share-rules
0.625806,0.930592,1.0,59.637615,Share-rules
0.647584,0.907677,1.0,58.25014,Share-rules
0.613953,0.924992,0.999935,57.567141,Share-rules
0.628599,0.923234,0.999976,59.1286,Share-rules
