Avg_payoff,Avg_goal_satisfaction,Avg_privacy_loss,resolution,source
0.567557,0.90268,1.0,57.536247,Share-all
0.585939,0.896881,1.0,58.940578,Share-all
0.666429,0.889953,1.0,61.419959,Share-all
0.633717,0.902775,1.0,59.450813,Share-all
0.625427,0.924135,1.0,60.061554,Share-all
0.550736,0.897634,1.0,56.433558,Share-all
0.654052,0.887637,1.0,60.566846,Share-all
0.458734,0.898515,1.0,55.071148,Share-all
0.582531,0.901268,1.0,57.259681,Share-all
0.585297,0.903835,1.0,57.801098,Share-all
0.59823,0.910265,1.0,58.115472,Share-rules
0.613631,0.900473,0.999978,59.151345,Share-rules
0.611912,0.919152,0.999977,57.746894,Share-rules
0.58886,0.910174,1.0,55.95076,Share-rules
0.635303,0.903325,1.0,58.479836,Share-rules
0.6728,0.908054,1.0,57.881451,Share-rules
0.625806,0.930592,1.0,59.637615,Share-rules
0.647584,0.907677,1.0,58.25014,Share-rules
0.613953,0.924992,0.999935,57.567141,Share-rules
0.628599,0.923234,0.999976,59.1286,Share-rules
0.74103,0.8527,0.747417,63.51391,Exanna
0.771008,0.869088,0.746751,62.352801,Exanna
0.745202,0.869,0.742713,62.194214,Exanna
0.659372,0.910569,0.751959,57.118178,Exanna
0.726234,0.873012,0.74638,61.539669,Exanna
0.636459,0.919065,0.749553,58.716291,Exanna
0.653554,0.925115,0.752572,59.073859,Exanna
0.728842,0.859493,0.749459,61.907274,Exanna
0.6938,0.883627,0.749347,59.261932,Exanna
0.638018,0.885878,0.749946,58.676243,Exanna
